,vv_list,vh_list,vv/vh_list
59,"[0.10599491000175476, 0.08236841857433319, 0.3330540060997009, 0.16326822340488434, 0.15444260835647583, 0.20401397347450256, 0.08715342730283737, 0.10687101632356644, 0.023902053013443947, 0.14726896584033966, 0.09072105586528778, 0.10330811887979507, 0.07845710217952728, 0.04455941542983055, 0.02702406980097294, 0.1869215965270996, 0.018057119101285934, 0.025044871494174004]","[0.00766987819224596, 0.007771377917379141, 0.011407339945435524, 0.00913569051772356, 0.059395164251327515, 0.0606929175555706, 0.020916325971484184, 0.03245777264237404, 0.016478365287184715, 0.022502021864056587, 0.01924026757478714, 0.037023451179265976, 0.03633495047688484, 0.03385183587670326, 0.059034619480371475, 0.051089558750391006, 0.002969702472910285, 0.004254580941051245]","[13.819634073056434, 10.59894647384637, 29.196465406728542, 17.871470480325296, 2.600255598300226, 3.3614131877530324, 4.1667655888350605, 3.292617072067507, 1.4505111761318132, 6.544699259917549, 4.715166019009559, 2.790342758150275, 2.1592736786428053, 1.3163072039025279, 0.4577664773456907, 3.658704461323402, 6.080447205066338, 5.886565995847709]"
60,"[0.22585216164588928, 0.20292112231254578, 0.15453706681728363, 0.369305282831192, 0.08389807492494583, 0.0883568748831749, 0.06932054460048676, 0.06466381996870041, 0.03643651679158211, 0.07667263597249985, 0.06082848086953163, 0.060821738094091415, 0.10310093313455582, 0.04122397303581238, 0.07751429826021194, 0.1637817770242691, 0.1287906914949417, 0.17086932063102722]","[0.006827680394053459, 0.012729371897876263, 0.05173046886920929, 0.03941592201590538, 0.020614808425307274, 0.03990895673632622, 0.048980116844177246, 0.020889563485980034, 0.01148460153490305, 0.016621489077806473, 0.042035602033138275, 0.01859229803085327, 0.01354488916695118, 0.02776365540921688, 0.056138698011636734, 0.0315641351044178, 0.006612682249397039, 0.0166485495865345]","[33.0789006823744, 15.941173212670504, 2.9873509789366377, 9.369444223128092, 4.0697964877495725, 2.213961028020311, 1.415279282020079, 3.095508434731024, 3.1726409210495694, 4.612862037425728, 1.447070528966808, 3.2713405299958005, 7.611795996538436, 1.4848179185413384, 1.3807640897575566, 5.188856798466364, 19.47631636265075, 10.263315716657258]"
61,"[0.19768087565898895, 0.18790258467197418, 0.07506419718265533, 0.0990283191204071, 0.07980667054653168, 0.21063783764839172, 0.08228259533643723, 0.1496063470840454, 0.0682377740740776, 0.10757042467594147, 0.06952425837516785, 0.04107404872775078, 0.274101585149765, 0.3316219449043274, 0.276651531457901, 0.024962080642580986, 0.006867683492600918, 0.010198782198131084]","[0.04385179281234741, 0.042588382959365845, 0.02832605130970478, 0.01599092222750187, 0.02707679755985737, 0.020027482882142067, 0.018631165847182274, 0.053763099014759064, 0.0323595255613327, 0.043959442526102066, 0.0300397090613842, 0.03136797994375229, 0.06744660437107086, 0.11234956979751587, 0.013050954788923264, 0.005631896201521158, 0.0023653199896216393, 0.002747334074229002]","[4.507931443188969, 4.4120619665521135, 2.6500056912958287, 6.192783487502302, 2.9474191092985396, 10.517439405039335, 4.416395410321647, 2.782695749048533, 2.1087383974385836, 2.4470379625962893, 2.314411841775815, 1.3094260070748258, 4.063979020229704, 2.951697505402106, 21.19780015579423, 4.432269301383574, 2.903490235035592, 3.712246826405056]"
62,"[0.15954819321632385, 0.14810802042484283, 0.1401207596063614, 0.18384362757205963, 0.056973718106746674, 0.040617648512125015, 0.07543709874153137, 0.034541644155979156, 0.029945218935608864, 0.07482202351093292, 0.03668577969074249, 0.25697779655456543, 0.1663549542427063, 0.19384154677391052, 0.20187175273895264, 0.11012455075979233, 0.03707379475235939, 0.01762739010155201]","[0.0814237967133522, 0.04896686598658562, 0.01846921443939209, 0.029690658673644066, 0.042476970702409744, 0.0363844558596611, 0.020395450294017792, 0.03311771899461746, 0.04331224039196968, 0.021703625097870827, 0.03695804625749588, 0.027130091562867165, 0.07660514116287231, 0.02671743743121624, 0.05146707221865654, 0.011379549279808998, 0.0051143579185009, 0.0034822600428014994]","[1.9594786740048993, 3.024657948609918, 7.58672005602494, 6.191968645520645, 1.3412848695331874, 1.1163461855467018, 3.6987219038580332, 1.0429958706272349, 0.6913800501800148, 3.447443603247327, 0.992633090914589, 9.47205784245453, 2.171589944453133, 7.255244716973832, 3.9223477077014532, 9.677408836849883, 7.248963671128107, 5.062054494750101]"
63,"[0.15796509385108948, 0.11189479380846024, 0.2887151539325714, 0.2566419839859009, 0.03742321953177452, 0.13596494495868683, 0.0364130400121212, 0.05349988117814064, 0.004622715059667826, 0.04674782603979111, 0.056105732917785645, 0.07558674365282059, 0.06732354313135147, 0.05365094169974327, 0.09166887402534485, 0.07966232299804688, 0.04097076877951622, 0.09842625260353088]","[0.0025878737214952707, 0.012492186389863491, 0.017535317689180374, 0.008473627269268036, 0.010275008156895638, 0.022328000515699387, 0.016481434926390648, 0.019641192629933357, 0.009635736234486103, 0.03303904831409454, 0.03698107972741127, 0.025160208344459534, 0.026946116238832474, 0.038978032767772675, 0.037011198699474335, 0.02795516885817051, 0.018401367589831352, 0.010366232134401798]","[61.040495345274195, 8.957182539259485, 16.46478033932138, 30.28714573234586, 3.6421595934850433, 6.089436663309211, 2.2093367582828223, 2.723861131355452, 0.4797469489796974, 1.4149265316412993, 1.5171469662687733, 3.004217716244204, 2.4984507056467917, 1.3764404689018135, 2.4767874926095494, 2.8496455665215494, 2.2265067299756995, 9.494891810968571]"
64,"[0.13633601367473602, 0.10341792553663254, 0.10497070848941803, 0.07681756466627121, 0.03259769082069397, 0.05708758905529976, 0.025284739211201668, 0.051795560866594315, 0.060795918107032776, 0.09819190204143524, 0.03542209416627884, 0.04330999404191971, 0.34126099944114685, 0.10307198017835617, 0.23231378197669983, 0.17760150134563446, 0.1485658884048462, 0.15151718258857727]","[0.024128803983330727, 0.028981506824493408, 0.030927225947380066, 0.02173851989209652, 0.03272958844900131, 0.023913459852337837, 0.014948423951864243, 0.016297010704874992, 0.03074214980006218, 0.019019393250346184, 0.022782092913985252, 0.020887751132249832, 0.07740806043148041, 0.04918535053730011, 0.03247716650366783, 0.014266777783632278, 0.024055825546383858, 0.016457654535770416]","[5.650342792329165, 3.568410923659428, 3.3941197528681166, 3.5337072186869447, 0.9959700798403602, 2.3872576117302717, 1.691465220187869, 3.1782246330058856, 1.977607893476266, 5.16272526410105, 1.5548217760333276, 2.0734637141023216, 4.408597729214804, 2.095582913456939, 7.153141945140544, 12.448606408476467, 6.175879855729127, 9.206487003312494]"
65,"[0.28409507870674133, 0.5623238682746887, 0.5013294816017151, 0.06143655255436897, 0.0456097237765789, 0.08725708723068237, 0.011025120504200459, 0.019686296582221985, 0.0526898168027401, 0.0797073245048523, 0.15080291032791138, 0.104384645819664, 0.016610993072390556, 0.010150477290153503]","[0.005912239663302898, 0.012867742218077183, 0.011528200469911098, 0.028664400801062584, 0.041954632848501205, 0.04962749779224396, 0.006508067715913057, 0.01833757385611534, 0.013714199885725975, 0.02377633936703205, 0.04101796820759773, 0.011391619220376015, 0.004057697486132383, 0.0031751119531691074]","[48.052023410030436, 43.70027458933012, 43.48722794248747, 2.143304964954702, 1.0871200789976232, 1.7582407155800501, 1.6940697278306784, 1.0735496820184238, 3.8419898529830205, 3.3523799973756003, 3.6765085380308586, 9.163284323351748, 4.093699229467058, 3.196887996349931]"
66,"[0.09645000100135803, 0.33857494592666626, 0.1337738037109375, 0.0477198101580143, 0.07452157884836197, 0.04987921565771103, 0.021565131843090057, 0.027334149926900864, 0.0761612206697464, 0.05516772344708443, 0.769666314125061, 0.060013383626937866, 0.040970537811517715, 0.12705977261066437]","[0.0027086453046649694, 0.029885169118642807, 0.02239484339952469, 0.037269268184900284, 0.04299785941839218, 0.018802789971232414, 0.007666201796382666, 0.023536138236522675, 0.018677569925785065, 0.026770533993840218, 0.02722920849919319, 0.012025576084852219, 0.012288158759474754, 0.009763176552951336]","[35.60820637358714, 11.329196250572938, 5.973419921917237, 1.2804064174608094, 1.733146250915124, 2.652756092793911, 2.813013851691938, 1.1613693653653236, 4.0776836051141245, 2.0607629067010125, 28.26620223455509, 4.990478892943229, 3.3341478258431096, 13.014183644180351]"
67,"[0.18222138285636902, 0.1642601639032364, 0.27671608328819275, 0.2944636940956116, 0.061855901032686234, 0.14837846159934998, 0.02482832968235016, 0.18168781697750092, 0.008910284377634525, 0.03436405211687088, 0.08015520870685577, 0.051100511103868484, 0.08541703224182129, 0.14506018161773682, 0.3245043456554413, 0.1346534937620163, 0.02560253255069256, 0.008688618429005146]","[0.007315910886973143, 0.011363585479557514, 0.012451643124222755, 0.03239642083644867, 0.03299645707011223, 0.027693841606378555, 0.012662908993661404, 0.031035153195261955, 0.012727160938084126, 0.046462930738925934, 0.028441574424505234, 0.042914263904094696, 0.035540975630283356, 0.016405506059527397, 0.08041516691446304, 0.027226997539401054, 0.0035900913644582033, 0.005589344073086977]","[24.907545440559705, 14.454959149885543, 22.223258450917548, 9.089389707035643, 1.8746225057209103, 5.357814336786517, 1.960712952669748, 5.8542587444111165, 0.700099921811457, 0.739601475205291, 2.8182409141806906, 1.1907581874890947, 2.403339546172731, 8.84216439842732, 4.035362458435408, 4.945587318879173, 7.131443172771831, 1.554496970555339]"
68,"[0.18555906414985657, 0.1149807795882225, 0.047157298773527145, 0.06297800689935684, 0.14543217420578003, 0.36496734619140625, 0.07663577049970627, 0.04584573209285736, 0.04757468029856682, 0.11547398567199707, 0.034577105194330215, 0.051229093223810196, 0.09857730567455292, 0.03745679929852486, 0.04289936274290085, 0.055319350212812424, 0.26127785444259644, 0.08596975356340408]","[0.01444709300994873, 0.0342191606760025, 0.004139550030231476, 0.02147182635962963, 0.021165696904063225, 0.01776316948235035, 0.025035331025719643, 0.028012041002511978, 0.020484263077378273, 0.03592264652252197, 0.02792932465672493, 0.02316480502486229, 0.06102367863059044, 0.02833935245871544, 0.01577926054596901, 0.039543237537145615, 0.03931567445397377, 0.031082261353731155]","[12.844041636755204, 3.3601285746572147, 11.39189004339445, 2.933053101517497, 6.8711261842675775, 20.546296456499004, 3.061104741174612, 1.636643759330002, 2.322498989534349, 3.2145177722248217, 1.2380215282435985, 2.2115054786270423, 1.6153943499751144, 1.3217238944711827, 2.7187181945518972, 1.3989585491285899, 6.6456409071265, 2.7658783440827146]"
69,"[0.30979999899864197, 0.19959451258182526, 0.25913751125335693, 0.45822060108184814, 0.19381700456142426, 0.10524661839008331, 0.26659053564071655, 0.27515673637390137, 0.17753201723098755, 0.2104320377111435, 0.05007144436240196, 0.2192971408367157, 0.14834165573120117, 0.23404501378536224, 0.11055846512317657, 0.10339386761188507, 0.10062361508607864, 0.17241783440113068]","[0.04703599214553833, 0.04896719753742218, 0.06769494712352753, 0.0473751537501812, 0.04275631532073021, 0.03797338530421257, 0.016950735822319984, 0.05143963545560837, 0.02014794759452343, 0.017670514062047005, 0.03891289234161377, 0.023960694670677185, 0.08085735142230988, 0.06538649648427963, 0.07379190623760223, 0.05084382742643356, 0.01907986029982567, 0.025414276868104935]","[6.5864455041165435, 4.076086086594791, 3.828018519321557, 9.672171271425068, 4.533061446187178, 2.7715890365562905, 15.727372453630116, 5.349119097303042, 8.811419445980885, 11.908653985517748, 1.2867571992034923, 9.152369906248543, 1.8346093845744156, 3.5794089968045903, 1.498246498297386, 2.0335579134259056, 5.273812989448253, 6.784290392992297]"
70,"[0.10558588802814484, 0.1649724841117859, 0.2870595455169678, 0.3666084110736847, 0.21124953031539917, 0.17314113676548004, 0.09590514749288559, 0.09428861737251282, 0.08148426562547684, 0.055120836943387985, 0.07578198611736298, 0.043281439691782, 0.19782355427742004, 0.09890166670084, 0.10181072354316711, 0.2841344177722931, 0.05900539085268974, 0.05089470371603966]","[0.029176753014326096, 0.009154683910310268, 0.016522780060768127, 0.023586804047226906, 0.05935056880116463, 0.02204587124288082, 0.023566406220197678, 0.026288356631994247, 0.023244313895702362, 0.020449746400117874, 0.025642726570367813, 0.035789214074611664, 0.03703942522406578, 0.04931746795773506, 0.06229133903980255, 0.07918716222047806, 0.017419414594769478, 0.011820787563920021]","[3.618836132187192, 18.020554912440957, 17.37356210402904, 15.542945552930336, 3.5593514027325353, 7.853676312356753, 4.069570328066811, 3.5867064150278165, 3.505556928507253, 2.6954288754930604, 2.95530141498038, 1.2093431166594186, 5.340891579194574, 2.0054084444399796, 1.6344282385407176, 3.5881373925382944, 3.387334891862972, 4.305525620930955]"
71,"[0.05086738243699074, 0.027282945811748505, 0.2938881814479828, 0.21758274734020233, 0.06604959815740585, 0.18642239272594452, 0.24033737182617188, 0.3851594626903534, 0.03204996511340141, 0.08725952357053757, 0.04521095007658005, 0.08742232620716095, 0.06543005257844925, 0.08137727528810501, 0.11684924364089966, 0.7546287178993225, 0.015577851794660091, 0.008628391660749912]","[0.0032843290828168392, 0.005077854730188847, 0.005832156166434288, 0.010698065161705017, 0.02808060310781002, 0.03698654845356941, 0.014916801825165749, 0.02445344440639019, 0.015066479332745075, 0.03862187638878822, 0.01527693122625351, 0.035967376083135605, 0.06196356564760208, 0.06389866769313812, 0.05469409376382828, 0.030764799565076828, 0.004250368103384972, 0.00887364149093628]","[15.48790670920339, 5.372927596677002, 50.39100001117813, 20.338513932319778, 2.3521431467771987, 5.040275465551144, 16.11185659252407, 15.750724367881004, 2.1272365232496546, 2.2593289536773686, 2.9594261705442992, 2.430600608870981, 1.0559439550422534, 1.2735363384868172, 2.1364142926558087, 24.52896584952732, 3.665059452675162, 0.9723619857262804]"
72,"[0.05557993799448013, 0.06319299340248108, 0.283342570066452, 0.6026999950408936, 0.13793052732944489, 0.1388338953256607, 0.036775197833776474, 0.04926838353276253, 0.013684424571692944, 0.050130411982536316, 0.08840404450893402, 0.06874547153711319, 0.07186885178089142, 0.05617421492934227, 0.1298786997795105, 0.1657407432794571, 0.13742434978485107, 0.3221265375614166]","[0.004747201222926378, 0.0032667252235114574, 0.010858360677957535, 0.019033925607800484, 0.020398560911417007, 0.02842777594923973, 0.011415463872253895, 0.023709269240498543, 0.016513269394636154, 0.02885827235877514, 0.02168750762939453, 0.035020675510168076, 0.03498392552137375, 0.019748609513044357, 0.06819470971822739, 0.17117401957511902, 0.11203062534332275, 0.07686048001050949]","[11.707938084878204, 19.344447138579312, 26.094415029115513, 31.664513535447202, 6.761777359119761, 4.8837410134919, 3.2215246130436483, 2.0780220188568976, 0.8286926255886022, 1.737124501401166, 4.076265747988215, 1.962996730807014, 2.054339263241985, 2.8444643098663764, 1.9045274965778751, 0.9682587561526674, 1.2266677023689563, 4.1910555010503545]"
73,"[0.10357840359210968, 0.260375052690506, 0.23965895175933838, 0.05506531894207001, 0.10845949500799179, 0.0643627941608429, 0.06595451384782791, 0.10815185308456421, 0.1436467468738556, 0.043485719710588455, 0.1190083771944046, 0.09371589869260788, 0.18416911363601685, 0.10557778924703598, 0.0421035997569561]","[0.004183228127658367, 0.010313550941646099, 0.010400732047855854, 0.023041032254695892, 0.03391379117965698, 0.02628803439438343, 0.041839100420475006, 0.030771492049098015, 0.026783274486660957, 0.046630311757326126, 0.02803662233054638, 0.01622411236166954, 0.05944128707051277, 0.03364741802215576, 0.010896125808358192]","[24.760400444641647, 25.24591715925036, 23.04250803276341, 2.389880728145215, 3.1980940860734757, 2.448368455216048, 1.5763846063848788, 3.5146769260327235, 5.363300403966546, 0.9325633492844143, 4.244747309120148, 5.776334421476113, 3.098336572314535, 3.137767931480399, 3.8640889888275063]"
74,"[0.19693991541862488, 0.30786988139152527, 0.44258084893226624, 0.20388482511043549, 0.29530593752861023, 0.051482513546943665, 0.07501769065856934, 0.07281062006950378, 0.05677606165409088, 0.06365418434143066, 0.11231651157140732, 0.4456174969673157, 0.09299340844154358, 0.08231698721647263, 0.0954163521528244]","[0.002537307096645236, 0.04358861222863197, 0.08571210503578186, 0.016802070662379265, 0.029508715495467186, 0.011954684741795063, 0.019850239157676697, 0.017745837569236755, 0.0462113693356514, 0.030869854614138603, 0.10305853188037872, 0.07533598691225052, 0.045623425394296646, 0.10452189296483994, 0.016412746161222458]","[77.61768990399858, 7.063080599507945, 5.163574605331463, 12.13450587176404, 10.00741416799291, 4.306471869304458, 3.7791832160146894, 4.102968923581518, 1.2286167337242044, 2.0620176264865404, 1.0898322489376662, 5.9150681531040386, 2.0382820368671535, 0.7875573708195583, 5.81355193186742]"
75,"[0.1119270920753479, 0.21398486196994781, 0.10612420737743378, 0.0830092653632164, 0.09500940144062042, 0.043666258454322815, 0.05631154775619507, 0.033135782927274704, 0.11243562400341034, 0.08035141229629517, 0.22139915823936462, 0.10269459336996078, 0.07255254685878754, 0.00954725407063961, 0.052007850259542465]","[0.007171016652137041, 0.020635461434721947, 0.008738765493035316, 0.015929287299513817, 0.0354631170630455, 0.03959576413035393, 0.016870109364390373, 0.03389371559023857, 0.027489831671118736, 0.03939235955476761, 0.08196466416120529, 0.03330200910568237, 0.008578330278396606, 0.003502465784549713, 0.006734122987836599]","[15.60825995878735, 10.369763847872548, 12.144073148777524, 5.211109813164708, 2.6791046391019413, 1.1028012569871954, 3.3379479966536643, 0.9776379588438467, 4.0900804831605075, 2.0397714989522715, 2.701153728927924, 3.083735670243326, 8.457653704649442, 2.7258664774842423, 7.7230324354753845]"
76,"[0.21842457354068756, 0.08816160261631012, 0.19039222598075867, 0.029538432136178017, 0.06269261986017227, 0.04740912839770317, 0.12316366285085678, 0.07200164347887039, 0.23977671563625336, 0.09931325912475586, 0.036590658128261566, 0.12762963771820068, 0.09589512646198273, 0.04807714745402336, 0.4189070165157318]","[0.028563357889652252, 0.014160465449094772, 0.014495725743472576, 0.012736163102090359, 0.04179467633366585, 0.042854346334934235, 0.024846836924552917, 0.03715657442808151, 0.04737509414553642, 0.03982893377542496, 0.007296564523130655, 0.02944071963429451, 0.01132970117032528, 0.009890655986964703, 0.0634709820151329]","[7.647020157241982, 6.225897230090411, 13.134370044665909, 2.3192567415637084, 1.5000144841335452, 1.1062851834717158, 4.956915168914319, 1.9377901377381634, 5.06123987637172, 2.493495298787878, 5.014778943195314, 4.335139877814983, 8.4640472877741, 4.860865398350341, 6.599976921987043]"
77,"[0.21040481328964233, 0.05235903337597847, 0.09017012268304825, 0.032484956085681915, 0.03715116158127785, 0.026505006477236748, 0.10444571077823639, 0.04500661417841911, 0.14436185359954834, 0.08118051290512085, 0.13874658942222595, 0.15877167880535126, 0.025131940841674805, 0.0980772152543068, 0.18786901235580444]","[0.006467182654887438, 0.02634918875992298, 0.041555650532245636, 0.021371064707636833, 0.03956369683146477, 0.020105427131056786, 0.05086620897054672, 0.02994597516953945, 0.03178847208619118, 0.04173867776989937, 0.07877641916275024, 0.03754832595586777, 0.007815832272171974, 0.016938310116529465, 0.003801632672548294]","[32.534230826252184, 1.987121267870545, 2.1698643031247844, 1.5200438784911634, 0.9390214908261999, 1.3183010887788877, 2.0533417546158006, 1.50292698513285, 4.541327221016663, 1.9449708817480966, 1.7612705794049706, 4.228462248675553, 3.2155169106118477, 5.790259747257602, 49.41798130903397]"
78,"[0.5077502727508545, 0.08566157519817352, 0.1244754046201706, 0.1411413848400116, 0.08510984480381012, 0.06961709260940552, 0.11545367538928986, 0.11353081464767456, 0.2492237687110901, 0.06245197355747223, 0.29858261346817017, 0.24797312915325165, 0.22518350183963776, 0.03644387796521187, 0.15611876547336578]","[0.01356168556958437, 0.023919042199850082, 0.0493202768266201, 0.01675170660018921, 0.027743414044380188, 0.03111358918249607, 0.03425230458378792, 0.07811770588159561, 0.049731235951185226, 0.03816995024681091, 0.13563871383666992, 0.07359825074672699, 0.017208892852067947, 0.019275672733783722, 0.007520281244069338]","[37.44005641080615, 3.581312933956462, 2.5238180446097234, 8.425492889089725, 3.067749508682054, 2.2375140393179325, 3.370683426771104, 1.453330117243269, 5.011413127872411, 1.6361554875930202, 2.2013082034065143, 3.369280202142295, 13.085298617137827, 1.8906669805271232, 20.75969773025238]"
79,"[0.14610271155834198, 0.02357524074614048, 0.050993021577596664, 0.10425209254026413, 0.06989928334951401, 0.06055718660354614, 0.14118273556232452, 0.07685597240924835, 0.2676885724067688, 0.06161830574274063, 0.21853315830230713, 0.12911812961101532, 0.09464006870985031, 0.06416428834199905, 0.29537707567214966]","[0.02695479243993759, 0.03126294165849686, 0.021061133593320847, 0.03771670535206795, 0.04533069208264351, 0.019195443019270897, 0.016583852469921112, 0.04935659095644951, 0.07482119649648666, 0.03908119350671768, 0.03516988083720207, 0.05338214710354805, 0.012294762767851353, 0.004842568654567003, 0.0427432544529438]","[5.420287018863064, 0.7540954080286633, 2.421190737509408, 2.7640826940507983, 1.5419857967771349, 3.1547688971153685, 8.513265287326577, 1.5571572290530218, 3.5777103941306057, 1.576674103674675, 6.213645116225321, 2.4187511484046973, 7.697592096475215, 13.250052383147118, 6.910495689965098]"
80,"[0.2853296995162964, 0.05536415055394173, 0.08912704885005951, 0.0747634544968605, 0.07026664912700653, 0.03628506138920784, 0.09266181290149689, 0.053348608314991, 0.19588704407215118, 0.30259743332862854, 0.047889068722724915, 0.05558092147111893, 0.08472345769405365, 0.042352549731731415, 0.3919470012187958]","[0.03553435578942299, 0.015346044674515724, 0.013857724145054817, 0.01944933831691742, 0.03292686492204666, 0.026169471442699432, 0.020006639882922173, 0.035745132714509964, 0.14131537079811096, 0.05441651493310928, 0.004704743158072233, 0.00841147918254137, 0.011735395528376102, 0.006265518721193075, 0.0038234153762459755]","[8.029685446027601, 3.6077146735980588, 6.431579090269656, 3.8440101806357996, 2.1340218479153923, 1.3865416223119928, 4.631552996592584, 1.4924719608981976, 1.3861694093560677, 5.560764663091565, 10.178891198461818, 6.607746421875611, 7.219480373643388, 6.759623842232599, 102.51227309851679]"
81,"[0.39938586950302124, 0.17220041155815125, 0.16055288910865784, 0.07817527651786804, 0.14243941009044647, 0.1000514030456543, 0.11973103880882263, 0.10491661727428436, 0.11331984400749207, 0.05277039483189583, 0.6095528602600098, 0.1353904902935028, 0.15909728407859802, 0.03750811144709587, 0.16066397726535797]","[0.05473773926496506, 0.030416496098041534, 0.018525222316384315, 0.06125654652714729, 0.013950004242360592, 0.025287481024861336, 0.056061409413814545, 0.026152171194553375, 0.041428662836551666, 0.030786266550421715, 0.09798644483089447, 0.02771873213350773, 0.008114705793559551, 0.003323914250358939, 0.01747744530439377]","[7.296353025647308, 5.661415141411997, 8.66671861566053, 1.2761946428570343, 10.210707295551558, 3.956558699828147, 2.135712249491158, 4.011774643633986, 2.7353005443253715, 1.7140888046775185, 6.220787592732641, 4.8844402276912335, 19.60604464611271, 11.284319817530037, 9.192646549147982]"
82,"[0.3091190457344055, 0.12452947348356247, 0.09875041991472244, 0.20406335592269897, 0.17827875912189484, 0.0630023330450058, 0.09645671397447586, 0.032595954835414886, 0.07898600399494171, 0.037830743938684464, 0.3410542905330658, 0.2793808877468109, 0.10764819383621216, 0.024732688441872597, 0.05247630551457405]","[0.007990027777850628, 0.038183048367500305, 0.026471946388483047, 0.017244253307580948, 0.03885045275092125, 0.020807882770895958, 0.022110173478722572, 0.03239034116268158, 0.011294740252196789, 0.016657551750540733, 0.09292138367891312, 0.17532089352607727, 0.0599079430103302, 0.005071513820439577, 0.003073309548199177]","[38.68810651589007, 3.261381131359757, 3.7303800206276123, 11.833702061949431, 4.588846371106122, 3.0278108416262, 4.36254894459782, 1.0063479934249722, 6.993166928259302, 2.2710866821984457, 3.6703531203492195, 1.5935401772593392, 1.796893507387658, 4.876786166330287, 17.074851944322642]"
83,"[0.36568665504455566, 0.1080038771033287, 0.2064761370420456, 0.12855461239814758, 0.14981041848659515, 0.11602041870355606, 0.08166075497865677, 0.06741303205490112, 0.08819796144962311, 0.044219184666872025, 0.1537214070558548, 0.15311206877231598, 0.18130864202976227, 0.05183577537536621, 0.09781496226787567]","[0.01133387815207243, 0.025118401274085045, 0.10336201637983322, 0.05370917171239853, 0.030200066044926643, 0.03618820756673813, 0.04245613142848015, 0.04678875952959061, 0.024887943640351295, 0.03206552565097809, 0.03349459543824196, 0.1028582975268364, 0.01857415959239006, 0.0048841736279428005, 0.007286963518708944]","[32.26491851579407, 4.299791054566741, 1.997601674906284, 2.393531836359921, 4.96059903523827, 3.2060283309028703, 1.9234148809864864, 1.44079545456355, 3.543802683104203, 1.3790257221472748, 4.589439133226421, 1.4885728468563078, 9.76133757911962, 10.613008325258757, 13.423281455539094]"
84,"[0.09199268370866776, 0.0425914004445076, 0.07032055407762527, 0.047292325645685196, 0.08512956649065018, 0.07843665033578873, 0.2408810555934906, 0.1261807680130005, 0.10800996422767639, 0.09393025934696198, 0.12164942175149918, 0.1858033984899521, 0.11167377978563309, 0.06206314265727997, 0.25381800532341003]","[0.024634666740894318, 0.012631256133317947, 0.013356100767850876, 0.014438237063586712, 0.0226631760597229, 0.029636019840836525, 0.032977718859910965, 0.047821592539548874, 0.034014180302619934, 0.03500305861234665, 0.07517421990633011, 0.07559332996606827, 0.012113265693187714, 0.016955388709902763, 0.021761247888207436]","[3.7342775802993518, 3.3719053746493692, 5.265051177727863, 3.2754916987030653, 3.7562946281806826, 2.6466661433296816, 7.304357727614546, 2.638573107088558, 3.175439280521393, 2.6834871885689986, 1.6182332440972305, 2.457933769730134, 9.21913071290399, 3.6603786394488322, 11.663761500596467]"
85,"[0.14790771901607513, 0.11362754553556442, 0.2477596551179886, 0.022178417071700096, 0.06173432245850563, 0.18040813505649567, 0.050376806408166885, 0.11573326587677002, 0.06488224864006042, 0.03933244198560715, 0.21970650553703308, 0.3629600703716278, 0.038290370255708694, 0.0093718022108078, 0.015058249235153198, 0.017830712720751762, 0.21694844961166382, 0.02697245217859745]","[0.02549208328127861, 0.02111009694635868, 0.01331857405602932, 0.009059746749699116, 0.018201865255832672, 0.04689332842826843, 0.045216627418994904, 0.02415291965007782, 0.04283769428730011, 0.015892857685685158, 0.13374826312065125, 0.07327383756637573, 0.0036808960139751434, 0.0020655887201428413, 0.005429323296993971, 0.004582076333463192, 0.011704576201736927, 0.006942967884242535]","[5.802104025162141, 5.382615997657189, 18.60256616629524, 2.4480173325415158, 3.391648141045504, 3.8472026000982535, 1.1141212709509656, 4.791688439885864, 1.5146064632917406, 2.4748501977107766, 1.6426867939125376, 4.953474288047727, 10.402459105156145, 4.537109502689245, 2.773503880951505, 3.891404556168771, 18.53535282887639, 3.8848591306050806]"
86,"[0.36152493953704834, 0.15042904019355774, 0.14591477811336517, 0.04372113570570946, 0.04311623051762581, 0.029610173776745796, 0.030591491609811783, 0.1783456951379776, 0.06290290504693985, 0.0600704625248909, 0.15662533044815063, 0.05046004801988602, 0.2177964299917221, 0.40507030487060547, 0.08301696926355362, 0.09191609174013138, 0.22856174409389496, 0.07531917840242386]","[0.009438383392989635, 0.033120494335889816, 0.017951151356101036, 0.021340522915124893, 0.033962104469537735, 0.010751002468168736, 0.02262147329747677, 0.03591954708099365, 0.03061153180897236, 0.03298497572541237, 0.040191445499658585, 0.030778400599956512, 0.0542692169547081, 0.0797523781657219, 0.013068361207842827, 0.012402226217091084, 0.004457738716155291, 0.0034725705627352]","[38.30369296139964, 4.541871829206087, 8.128435620580587, 2.04873778771009, 1.269539423162038, 2.754177934979995, 1.3523209212559997, 4.9651432056153855, 2.0548760983108583, 1.8211461795502024, 3.896981770647715, 1.639462968714408, 4.013259122081865, 5.079100011649651, 6.352515663075791, 7.411257473554623, 51.273023980872715, 21.689747419588233]"
